DateKey,Date,Year,Quarter,Month,MonthName,Day,DayOfWeek,DayName,WeekOfYear,IsWeekend
20080101,2008-01-01,2008,1,1,January,1,1,Tuesday,1,False
20080102,2008-01-02,2008,1,1,January,2,2,Wednesday,1,False
20080103,2008-01-03,2008,1,1,January,3,3,Thursday,1,False
20080104,2008-01-04,2008,1,1,January,4,4,Friday,1,False
20080105,2008-01-05,2008,1,1,January,5,5,Saturday,1,True
20080106,2008-01-06,2008,1,1,January,6,6,Sunday,1,True
20080107,2008-01-07,2008,1,1,January,7,0,Monday,2,False
20080108,2008-01-08,2008,1,1,January,8,1,Tuesday,2,False
20080109,2008-01-09,2008,1,1,January,9,2,Wednesday,2,False
20080110,2008-01-10,2008,1,1,January,10,3,Thursday,2,False
20080111,2008-01-11,2008,1,1,January,11,4,Friday,2,False
20080112,2008-01-12,2008,1,1,January,12,5,Saturday,2,True
20080113,2008-01-13,2008,1,1,January,13,6,Sunday,2,True
20080114,2008-01-14,2008,1,1,January,14,0,Monday,3,False
20080115,2008-01-15,2008,1,1,January,15,1,Tuesday,3,False
20080116,2008-01-16,2008,1,1,January,16,2,Wednesday,3,False
20080117,2008-01-17,2008,1,1,January,17,3,Thursday,3,False
20080118,2008-01-18,2008,1,1,January,18,4,Friday,3,False
20080119,2008-01-19,2008,1,1,January,19,5,Saturday,3,True
20080120,2008-01-20,2008,1,1,January,20,6,Sunday,3,True
20080121,2008-01-21,2008,1,1,January,21,0,Monday,4,False
20080122,2008-01-22,2008,1,1,January,22,1,Tuesday,4,False
20080123,2008-01-23,2008,1,1,January,23,2,Wednesday,4,False
20080124,2008-01-24,2008,1,1,January,24,3,Thursday,4,False
20080125,2008-01-25,2008,1,1,January,25,4,Friday,4,False
20080126,2008-01-26,2008,1,1,January,26,5,Saturday,4,True
20080127,2008-01-27,2008,1,1,January,27,6,Sunday,4,True
20080128,2008-01-28,2008,1,1,January,28,0,Monday,5,False
20080129,2008-01-29,2008,1,1,January,29,1,Tuesday,5,False
20080130,2008-01-30,2008,1,1,January,30,2,Wednesday,5,False
20080131,2008-01-31,2008,1,1,January,31,3,Thursday,5,False
20080201,2008-02-01,2008,1,2,February,1,4,Friday,5,False
20080202,2008-02-02,2008,1,2,February,2,5,Saturday,5,True
20080203,2008-02-03,2008,1,2,February,3,6,Sunday,5,True
20080204,2008-02-04,2008,1,2,February,4,0,Monday,6,False
20080205,2008-02-05,2008,1,2,February,5,1,Tuesday,6,False
20080206,2008-02-06,2008,1,2,February,6,2,Wednesday,6,False
20080207,2008-02-07,2008,1,2,February,7,3,Thursday,6,False
20080208,2008-02-08,2008,1,2,February,8,4,Friday,6,False
20080209,2008-02-09,2008,1,2,February,9,5,Saturday,6,True
20080210,2008-02-10,2008,1,2,February,10,6,Sunday,6,True
20080211,2008-02-11,2008,1,2,February,11,0,Monday,7,False
20080212,2008-02-12,2008,1,2,February,12,1,Tuesday,7,False
20080213,2008-02-13,2008,1,2,February,13,2,Wednesday,7,False
20080214,2008-02-14,2008,1,2,February,14,3,Thursday,7,False
20080215,2008-02-15,2008,1,2,February,15,4,Friday,7,False
20080216,2008-02-16,2008,1,2,February,16,5,Saturday,7,True
20080217,2008-02-17,2008,1,2,February,17,6,Sunday,7,True
20080218,2008-02-18,2008,1,2,February,18,0,Monday,8,False
20080219,2008-02-19,2008,1,2,February,19,1,Tuesday,8,False
20080220,2008-02-20,2008,1,2,February,20,2,Wednesday,8,False
20080221,2008-02-21,2008,1,2,February,21,3,Thursday,8,False
20080222,2008-02-22,2008,1,2,February,22,4,Friday,8,False
20080223,2008-02-23,2008,1,2,February,23,5,Saturday,8,True
20080224,2008-02-24,2008,1,2,February,24,6,Sunday,8,True
